,Municipio,Estado,desmatamento_pro
0,Alta Floresta D'Oeste,RO,0.3379291018635281
1,Ariquemes,RO,0.7450792233876367
2,Cabixi,RO,0.7633131618759456
3,Cacoal,RO,0.6681235278722848
4,Cerejeiras,RO,0.29351158645276293
5,Colorado do Oeste,RO,0.8245890410958905
6,Corumbiara,RO,0.7076923076923077
7,Costa Marques,RO,0.3892249901146698
8,Espigão D'Oeste,RO,0.47022632388486046
9,Guajará-Mirim,RO,0.06391923990498811
10,Jaru,RO,0.8856854838709678
11,Ji-Paraná,RO,0.37716750539180444
12,Machadinho D'Oeste,RO,0.4221653084982538
13,Nova Brasilândia D'Oeste,RO,0.782604970008569
14,Ouro Preto do Oeste,RO,0.929748743718593
15,Pimenta Bueno,RO,0.4068471337579618
16,Porto Velho,RO,0.33802951113164503
17,Presidente Médici,RO,0.9093062605752962
18,Rio Crespo,RO,0.6522113727742677
19,Rolim de Moura,RO,0.9061182868796738
20,Santa Luzia D'Oeste,RO,0.8148301574150787
21,Vilhena,RO,0.16352727900552486
22,São Miguel do Guaporé,RO,0.28067143915082693
23,Nova Mamoré,RO,0.41568206229860366
24,Alvorada D'Oeste,RO,0.454640522875817
25,Alto Alegre dos Parecis,RO,0.3433400100150225
26,Alto Paraíso,RO,0.7652627655609392
27,Buritis,RO,0.8262745098039216
28,Novo Horizonte do Oeste,RO,0.881924882629108
29,Cacaulândia,RO,0.7640302267002519
30,Campo Novo de Rondônia,RO,0.6098825551417931
31,Candeias do Jamari,RO,0.39011686625306596
32,Castanheiras,RO,0.8174250832408435
33,Chupinguaia,RO,0.5313516653756778
34,Cujubim,RO,0.5852202868852459
35,Governador Jorge Teixeira,RO,0.27544338335607094
36,Itapuã do Oeste,RO,0.24741045498547917
37,Ministro Andreazza,RO,0.8947761194029851
38,Mirante da Serra,RO,0.5581742738589212
39,Monte Negro,RO,0.7836828644501278
40,Nova União,RO,0.9112883435582823
41,Parecis,RO,0.46911993769470406
42,Pimenteiras do Oeste,RO,0.21681780708985984
43,Primavera de Rondônia,RO,0.700655737704918
44,São Felipe D'Oeste,RO,0.8910420475319927
45,São Francisco do Guaporé,RO,0.23750337990085624
46,Seringueiras,RO,0.3696414551164617
47,Teixeirópolis,RO,0.9553879310344828
48,Theobroma,RO,0.8057735678845287
49,Urupá,RO,0.8291319857312722
50,Vale do Anari,RO,0.41506632975363233
51,Vale do Paraíso,RO,0.9142710472279261
52,Acrelândia,AC,0.6788297872340425
53,Assis Brasil,AC,0.06262548262548262
54,Brasiléia,AC,0.4012801575578533
55,Bujari,AC,0.43550257731958764
56,Capixaba,AC,0.5725568181818183
57,Cruzeiro do Sul,AC,0.12595088024342535
58,Epitaciolândia,AC,0.5488549618320611
59,Feijó,AC,0.06712704342163885
60,Jordão,AC,0.03643300798580302
61,Mâncio Lima,AC,0.07851440472058313
62,Manoel Urbano,AC,0.05082748695808599
63,Marechal Thaumaturgo,AC,0.03702841173730787
64,Plácido de Castro,AC,0.7647887323943663
65,Porto Walter,AC,0.03913826752739829
66,Rio Branco,AC,0.33354548447273125
67,Rodrigues Alves,AC,0.17455329636475664
68,Santa Rosa do Purus,AC,0.01793700787401575
69,Senador Guiomard,AC,0.7391778523489934
70,Sena Madureira,AC,0.09255660799219481
71,Tarauacá,AC,0.08593779542446586
72,Xapuri,AC,0.2889856650335692
73,Porto Acre,AC,0.530928597854236
74,Alvarães,AM,0.05976439356230297
75,Amaturá,AM,0.02402610646542933
76,Anamã,AM,0.08277395875454913
77,Anori,AM,0.014388243335611757
78,Apuí,AM,0.06433474031932465
79,Atalaia do Norte,AM,0.0031373039185050933
80,Autazes,AM,0.18994237820848614
81,Barcelos,AM,0.001808912477952369
82,Barreirinha,AM,0.14177083333333335
83,Benjamin Constant,AM,0.02140826590859392
84,Beruri,AM,0.013738441215323645
85,Boa Vista do Ramos,AM,0.0821483771251932
86,Boca do Acre,AM,0.13771630891790218
87,Borba,AM,0.013376226041572932
88,Caapiranga,AM,0.026722513089005234
89,Canutama,AM,0.046396723693771055
90,Carauari,AM,0.01139823944992255
91,Careiro,AM,0.18664925738534355
92,Careiro da Várzea,AM,0.22847406285497918
93,Coari,AM,0.013604066090977085
94,Codajás,AM,0.014643158783783783
95,Eirunepé,AM,0.025864941055868784
96,Envira,AM,0.0528166303092519
97,Fonte Boa,AM,0.008642672692059393
98,Guajará,AM,0.07379759519038076
99,Humaitá,AM,0.03675361971999521
100,Ipixuna,AM,0.02219928543072648
101,Iranduba,AM,0.22436069986541052
102,Itacoatiara,AM,0.20513050296852248
103,Itamarati,AM,0.005352891482989018
104,Itapiranga,AM,0.033969375736160184
105,Japurá,AM,0.0011849535227174007
106,Juruá,AM,0.0080155171545166
107,Jutaí,AM,0.0038895702101566423
108,Lábrea,AM,0.08781863589390286
109,Manacapuru,AM,0.11329088199430971
110,Manaquiri,AM,0.12651837040739813
111,Manaus,AM,0.11170574392050901
112,Manicoré,AM,0.04907473967425907
113,Maraã,AM,0.007392137506532721
114,Maués,AM,0.03839361436767274
115,Nhamundá,AM,0.036159071610529295
116,Nova Olinda do Norte,AM,0.08156444444444445
117,Novo Airão,AM,0.0034108201710657503
118,Novo Aripuanã,AM,0.04869487600115797
119,Parintins,AM,0.1670862705605908
120,Pauini,AM,0.008211861837348696
121,Presidente Figueiredo,AM,0.031742803504380475
122,Rio Preto da Eva,AM,0.10214114422747515
123,Santa Isabel do Rio Negro,AM,0.0035350070169967254
124,Santo Antônio do Içá,AM,0.011643244092015389
125,São Gabriel da Cachoeira,AM,0.010943667982502936
126,São Paulo de Olivença,AM,0.009410270191039233
127,São Sebastião do Uatumã,AM,0.021111729769858947
128,Silves,AM,0.11817456093666845
129,Tabatinga,AM,0.051420879449596175
130,Tapauá,AM,0.004960313097777094
131,Tefé,AM,0.02957496072107831
132,Tonantins,AM,0.01445837739839855
133,Uarini,AM,0.02700038284839204
134,Urucará,AM,0.01245180636869913
135,Urucurituba,AM,0.03379073756432247
136,Amajari,RR,0.01507329952060029
137,Alto Alegre,RR,0.034659244655765586
138,Boa Vista,RR,0.004016765630457562
139,Bonfim,RR,0.0521434713180199
140,Cantá,RR,0.22289047310434218
141,Caracaraí,RR,0.02795181730729014
142,Caroebe,RR,0.09636963696369637
143,Iracema,RR,0.06570667787821456
144,Mucajaí,RR,0.16409380338561888
